"course_title","code","subject","description"
"Observational Astrophysics","PHYSICS 139","PHYSICS - Physics and Astronomy","Telescopes and astronomical observations, imaging with CCD detectors and image processing techniques. Photometry and spectroscopy of stars, galaxies, and quasars. Advanced imaging techniques such as deconvolution, adaptive optics, and interferometry.Corequisite:PHYSICS 194Prerequisite:PHYSICS 52Cand (PHYSICS 53orI&C SCI 45CorEECS 12) andPHYSICS 61C"
"Energy and the Environment","PHYSICS 14","PHYSICS - Physics and Astronomy","The physics of society’s energy production and consumption, and of their influences on the environment. Topics include fossil and renewable energy resources; nuclear power; prospects for a hydrogen economy; efficient and environmentally benign transportation; efficient home and commercial energy usage.(II and Va )."
"Stellar Astrophysics","PHYSICS 144","PHYSICS - Physics and Astronomy","Stars: their structure and evolution; physical state of the interior; the Hertzprung- Russell diagram, stellar classification, and physical principles responsible for the classification; star formation; nuclear burning; giant and dwarf stars; neutron stars and black holes.Prerequisite: (PHYSICS 51AorPHYSICS 61A) andPHYSICS 111AandPHYSICS 112A"
"High-Energy Astrophysics","PHYSICS 145","PHYSICS - Physics and Astronomy","Production of radiation by high-energy particles, white dwarfs, neutron stars, and black holes. Evolution of galactic nuclei, radio galaxies, quasars, and pulsars.  Cosmic rays and the cosmic background radiation.Prerequisite: (PHYSICS 51AorPHYSICS 61A) andPHYSICS 111AandPHYSICS 112A"
"Biophysics of Molecules and Molecular Machines","PHYSICS 146A","PHYSICS - Physics and Astronomy","Physical concepts and experimental and computational techniques used to study the structure and function of biological molecules and molecular machines with examples from enzyme action, protein folding, molecular motors, photobiology, chemotaxis, and vision.Prerequisite:PHYSICS 115AConcurrent withPHYSICS 230A."
"Biophysics of Molecules and Molecular Machines","PHYSICS 146B","PHYSICS - Physics and Astronomy","Physical concepts and experimental and computational techniques used to study the structure and function of biological molecules and molecular machines with examples from enzyme action, protein folding, molecular motors, photobiology, chemotaxis, and vision.Prerequisite:PHYSICS 115AConcurrent withPHYSICS 230B."
"Physics of Music","PHYSICS 15","PHYSICS - Physics and Astronomy","Introduces basic physical principles underlying generation and properties of music, including basic properties of sound waves, musical scales and temperament, musical instruments, and acoustics of music halls.  No mathematics background required, but high school algebra is recommended.(II)"
"Special Topics in Physics and Astronomy","PHYSICS 150","PHYSICS - Physics and Astronomy","Current topics in physics.  Includes topics from nano-science, biological sciences, astrophysics, and the common use of estimation across subdisciplines within physics.Repeatability: Unlimited as topics vary."
"How Things Work","PHYSICS 18","PHYSICS - Physics and Astronomy","Survey of the physical basis of modern technology, with an emphasis on electronics and materials. Topics include power generation and distribution, communication (radio, TV, telephone, computers, tape recorders, CD players), imaging (optics, x-rays, MRI), and modern materials (alloys, semiconductors, superconductors).(II)"
"Great Ideas of Physics","PHYSICS 19","PHYSICS - Physics and Astronomy","Introduces non-science majors to physics, examining important breakthroughs and controversies. Potential topics: Einstein's Relativity; Heisenberg's Uncertainty Principle; black holes; extra-dimensions; antimatter. Case studies illustrate the essential nature of scientific review and independent confirmation of results. No mathematics background required.(II)"
"Field Experience in Physics Education","PHYSICS 191","PHYSICS - Physics and Astronomy",""
"Tutoring in Physics","PHYSICS 192","PHYSICS - Physics and Astronomy",""
"Research Methods","PHYSICS 193","PHYSICS - Physics and Astronomy","Explores tools of inquiry for developing and implementing science research projects.  Students undertake independent projects requiring data collection, analysis, and modeling, and the organization and presentation of results.  Additional topics include ethical issues and role of scientific literature.Prerequisite:BIO SCI 14orPHY SCI 5Same asBIO SCI 108,CHEM 193."
"Research Communication for Physics Majors","PHYSICS 194","PHYSICS - Physics and Astronomy","Students learn the fundamentals of communicating about research. Topics include preparing abstracts, proposals, and literature reviews. Provides preparation for presentation of independent research projects in PHYSICS 121 and PHYSICS 196.Prerequisite:PHYSICS 61AorPHYSICS 51A. Satisfactory completion of the Lower-Division Writing requirement.Restriction: Physics Majors only."
"Undergraduate Research","PHYSICS 195","PHYSICS - Physics and Astronomy",""
"Thesis in Physics I","PHYSICS 196A","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Corequisite:PHYSICS 194Overlaps withPHYSICS H196A.Restriction: Physics Majors only."
"Thesis in Physics II","PHYSICS 196B","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Prerequisite:PHYSICS 196AOverlaps withPHYSICS H196B.Restriction: Physics Majors only."
"Thesis in Physics III","PHYSICS 196C","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Prerequisite:PHYSICS 196BOverlaps withPHYSICS H196C.Restriction: Physics Majors only."
"Readings on Special Topics","PHYSICS 199","PHYSICS - Physics and Astronomy",""
"Introduction to Mathematical Methods for Physics","PHYSICS 2","PHYSICS - Physics and Astronomy","Provides the applied mathematics and problem solving/presentation skills necessary for success in an introductory physics sequence. Focuses on practical exercises in problem solving. Covers kinematics in one and two dimensions in detail. Additional topics include vectors, differentiation, and integration.Corequisite:MATH 2AorMATH 5APrerequisite:MATH 2AorMATH 5Aor AP Calculus AB or AP Calculus BC. AP Calculus AB with a minimum score of 3. AP Calculus BC with a minimum score of 3Restriction:PHYSICS 2may not be taken for credit if taken afterPHYSICS 7C."
"Advanced Data Acquisition and Analysis","PHYSICS 206","PHYSICS - Physics and Astronomy","Introduces students to a variety of practical laboratory techniques, including lock-in, boxcar, coincidence counting, noise filtering, PID control, properties of common transducers, computer interfacing to instruments, vacuum technology, laboratory safety, basic mechanical design, and shop skills. Materials fee.Same asCHEM 206.Concurrent with PHYSICS 106."
"Applied Physical Chemistry","PHYSICS 207","PHYSICS - Physics and Astronomy","Introduction to fundamental concepts in molecular structure and reactivity: theory of bonding, valence and molecular orbitals; structure and reactivity in inorganic chemistry; elements in molecular group theory; nomenclature in organic chemistry; and survey of macromolecules.Same asCHEM 207."
"Math Methods","PHYSICS 208","PHYSICS - Physics and Astronomy","Applications of mathematics to physical and chemical problems. Calculus of special functions, complex variables and vectors; linear vector spaces and eigenvalue problems. Differential equations.Same asCHEM 208."
"Introduction to Astronomy","PHYSICS 20A","PHYSICS - Physics and Astronomy","History of astronomy. Underlying physics. Objects in the solar system and how they are studied. Properties of stars: their formation, structure, and evolution. Pulsars and black holes. Galaxies and quasars.(II and VA )."
"Cosmology: Humanity's Place in the Universe","PHYSICS 20B","PHYSICS - Physics and Astronomy","An overview of the origin, evolution, and ultimate fate of the Universe. Galaxies and dark matter. The Big Bang and dark energy.  Ancient world models.(II and VA )."
"Space Science","PHYSICS 20D","PHYSICS - Physics and Astronomy","Space exploration. Human missions to the moon, Mars, and beyond. Space stations, observatories, and deep-space probes. Robots and drones on distant worlds. Propulsion mechanisms, rockets, space flight, and the dangers of solar radiation.(II and VA )."
"Life in the Universe","PHYSICS 20E","PHYSICS - Physics and Astronomy","An overview of the scientific quest to discover life elsewhere in the universe. Topics include the origin of life on Earth, Mars, extra-solar planets, interstellar travel, and extra-terrestrial intelligence.(II and Va )."
"Special Topics in Physics","PHYSICS 21","PHYSICS - Physics and Astronomy","Topics addressed vary each quarter. Past topics have included physics and music, Newton, planetary science. Lectures on areas of special interest in physics used to introduce students to scientific method, fundamental laws of science, qualitative and quantitative analysis of data.Repeatability: Unlimited as topics vary.Overlaps withPHYSICS 12, PHYSICS XI12.(II)"
"Classical Mechanics","PHYSICS 211","PHYSICS - Physics and Astronomy","Variational principles, Lagrange's equations; applications to two body problems, small oscillation theory, and other phenomena. Hamilton's equations. Hamilton-Jacobi theory. Canonical transformations.Restriction: Graduate students only."
"Mathematical Physics","PHYSICS 212A","PHYSICS - Physics and Astronomy","Complex variables and integration; ordinary and partial differential equations; the eigenvalue problem.Restriction: Graduate students only."
"Electromagnetic Theory","PHYSICS 213A","PHYSICS - Physics and Astronomy","Electrostatics; magnetostatics; relativity; classical electron theory; fields in vacuum and matter; retardation; radiation and absorption; dispersion; propagation of light; diffraction; geometric optics; theories of the electric and magnetic properties of materials; scattering."
"Electromagnetic Theory","PHYSICS 213B","PHYSICS - Physics and Astronomy","Electrostatics; magnetostatics; relativity; classical electron theory; fields in vacuum and matter; retardation; radiation and absorption; dispersion; propagation of light; diffraction; geometric optics; theories of the electric and magnetic properties of materials; scattering.Prerequisite:PHYSICS 213A"
"Statistical Physics","PHYSICS 214A","PHYSICS - Physics and Astronomy","Maxwell-Boltzmann, Bose-Einstein, Fermi-Dirac statistics; ideal and imperfect gases; thermodynamic properties of solids; transport theory.Restriction: Graduate students only."
"Many Body Theory","PHYSICS 214C","PHYSICS - Physics and Astronomy","Application of field theory methods, perturbative and non-perturbative, to many particle systems; second quantization, Feynman diagrams, linear response theory, and functional integral methods applied to the ground state and at finite temperature.Prerequisite:PHYSICS 214AandPHYSICS 215AandPHYSICS 215B.PHYSICS 214Awith a grade of B- or better.PHYSICS 215Awith a grade of B- or better.PHYSICS 215Bwith a grade of B- or betterRestriction: Graduate students only."
"Quantum Mechanics","PHYSICS 215A","PHYSICS - Physics and Astronomy","Foundations; Dirac notation; basic operators and their eigenstates; perturbation theory; spin.Restriction: Graduate students only."
"Quantum Mechanics","PHYSICS 215B","PHYSICS - Physics and Astronomy","Atomic physics; scattering theory, formal collision theory; semi-classical radiation theory; many body systems.Prerequisite:PHYSICS 215A.PHYSICS 215Awith a grade of B- or betterRestriction: Graduate students only."
"Electronics for Scientists","PHYSICS 220","PHYSICS - Physics and Astronomy","Applications of modern semiconductor devices to physical instrumentation. Characteristics of semiconductor devices, integrated circuits, analog and digital circuits.Restriction: Graduate students only.Concurrent withPHYSICS 120."
"Continuum Mechanics","PHYSICS 222","PHYSICS - Physics and Astronomy","Introduction to the continuum limit and stress and strain tensors. Hydrodynamics of perfect fluids; two-dimensional problems, motion of incompressible viscous fluids, Navier Stokes equations. Basic elasticity theory. Description of viscoelastic materials. Introduction to nonlinear behavior instabilities."
"Machine Learning and Statistics","PHYSICS 223","PHYSICS - Physics and Astronomy","Theory and practice of machine learning and statistics for physics and astronomy. Topics include: clustering, dimensionality reduction, Bayesian statistics, Markovchains, variational inference, supervised and unsupervised learning, neural networks and modern deep learning architectures. Familiarity with python numerical programing assumed.Restriction: Graduate students only."
"Electromagnetism","PHYSICS 228","PHYSICS - Physics and Astronomy","Maxwell’s equations, electrodynamics, electromagnetic waves and radiation, wave propagation in media, interference and quantum optics, coherent and incoherent radiation, with practical applications in interferometry, lasers, waveguides, and optical instrumentation.Same asCHEM 228."
"Mathematical Methods for the Physical Sciences","PHYSICS 229A","PHYSICS - Physics and Astronomy","Mathematical and numerical analysis using Mathematica and C programming, as applied to problems in physical science.Same asCHEM 229A.Concurrent withPHYSICS 100."
"Biophysics of Molecules and Molecular Machines","PHYSICS 230A","PHYSICS - Physics and Astronomy","Physical concepts and experimental and computational techniques used to study the structure and function of biological molecules and molecular machines with examples from enzyme action, protein folding, molecular motors, photobiology, chemotaxis, and vision.Concurrent withPHYSICS 146A."
"Biophysics of Molecules and Molecular Machines","PHYSICS 230B","PHYSICS - Physics and Astronomy","Physical concepts and experimental and computational techniques used to study the structure and function of biological molecules and molecular machines with examples from enzyme action, protein folding, molecular motors, photobiology, chemotaxis, and vision.Concurrent withPHYSICS 146B."
"Elementary Particle Physics","PHYSICS 234A","PHYSICS - Physics and Astronomy","Overview of Standard Model theory and phenomenology. Electromagnetic, strong and weak forces, quark model, interactions with matter, particle detectors and accelerators.Prerequisite:PHYSICS 215B.PHYSICS 215Bwith a grade of B- or better"
"Advanced Elementary Particle Physics","PHYSICS 234B","PHYSICS - Physics and Astronomy","SU(3)xSU(2)xU(1) model of strong, weak, and electromagnetic interactions. K-meson system and CP violation, neutrino masses and mixing, grand-unified theories, supersymmetry, introduction to cosmology and its connection to particle physics.Prerequisite:PHYSICS 234AandPHYSICS 235A.PHYSICS 234Awith a grade of B- or better.PHYSICS 235Awith a grade of B- or better"
"Advanced Elementary Particle Physics","PHYSICS 234C","PHYSICS - Physics and Astronomy","SU(3)xSU(2)xU(1) model of strong, weak, and electromagnetic interactions. K-meson system and CP violation, neutrino masses and mixing, grand-unified theories, supersymmetry, introduction to cosmology and its connection to particle physics.Prerequisite:PHYSICS 234AandPHYSICS 235A.PHYSICS 234Awith a grade of B- or better.PHYSICS 235Awith a grade of B- or better"
"Quantum Field Theory","PHYSICS 235A","PHYSICS - Physics and Astronomy","Canonical quantization, scalar field theory, Feynman diagrams, tree-level quantum electrodynamics.Prerequisite:PHYSICS 215B.PHYSICS 215Bwith a grade of B- or betterRestriction: Graduate students only."
"Advanced Quantum Field Theory","PHYSICS 235B","PHYSICS - Physics and Astronomy","Pathintegral techniques, loop diagrams, regularization and renormalization, anomalies.Prerequisite:PHYSICS 235A.PHYSICS 235Awith a grade of B- or betterRestriction: Graduate students only."
"Condensed Matter Physics","PHYSICS 238A","PHYSICS - Physics and Astronomy","Bonding in solids; crystal symmetry and group theory, elastic properties of crystals; lattice vibrations, interaction of radiation with matter; cohesion of solids; the electron gas; electron energy bands in solids; ferromagnetism; transport theory; semiconductors and superconductors; many-body perturbation theory.Prerequisite: (PHYSICS 214AorCHEM 232A) and (PHYSICS 215BorCHEM 231B).PHYSICS 214Awith a grade of B- or better.CHEM 232Awith a grade of B- or better.PHYSICS 215Bwith a grade of B- or better.CHEM 231Bwith a grade of B- or better"
"Condensed Matter Physics","PHYSICS 238B","PHYSICS - Physics and Astronomy","Bonding in solids; crystal symmetry and group theory, elastic properties of crystals; lattice vibrations, interaction of radiation with matter; cohesion of solids; the electron gas; electron energy bands in solids; ferromagnetism; transport theory; semiconductors and superconductors; many-body perturbation theory.Prerequisite:PHYSICS 238A.PHYSICS 238Awith a grade of B- or better"
"Condensed Matter Physics","PHYSICS 238C","PHYSICS - Physics and Astronomy","Bonding in solids; crystal symmetry and group theory, elastic properties of crystals; lattice vibrations, interaction of radiation with matter; cohesion of solids; the electron gas; electron energy bands in solids; ferromagnetism; transport theory; semiconductors and superconductors; many-body perturbation theory.Prerequisite:PHYSICS 238B.PHYSICS 238Bwith a grade of B- or better"
"Plasma Physics","PHYSICS 239A","PHYSICS - Physics and Astronomy","Basic concepts, orbits, kinetic and fluid equations, Coulomb collisions, fluctuations, scattering, radiation.Restriction: Graduate students only.Concurrent withPHYSICS 135."
"Plasma Physics","PHYSICS 239B","PHYSICS - Physics and Astronomy","Magnetic confinement, MHD equilibrium and stability, collisional transport.Prerequisite:PHYSICS 239A.PHYSICS 239Awith a grade of B- or betterRestriction: Graduate students only."
"Plasma Physics","PHYSICS 239C","PHYSICS - Physics and Astronomy","Linear waves and instabilities, uniform un-magnetized and magnetized plasmas, non-uniform plasmas.Prerequisite:PHYSICS 239B.PHYSICS 239Bwith a grade of B- or betterRestriction: Graduate students only."
"Galactic Astrophysics","PHYSICS 240A","PHYSICS - Physics and Astronomy","The morphology, kinematics, and evolution of our Milky Way and other galaxies.  Topics include stellar formation and stellar evolution, end states of stars (supernovae, neutron stars), the distribution of stars, interstellar gas and mass in galaxies. The Local Group."
"Cosmology","PHYSICS 240B","PHYSICS - Physics and Astronomy","An introduction to modern cosmology set within the context of general relativity.  Topics include the expansion history of the Universe, inflation, the cosmic microwave background, density fluctuations, structure formation, dark matter, dark energy, and gravitational lensing."
"Radiative Processes in Astrophysics","PHYSICS 240C","PHYSICS - Physics and Astronomy","Exploration of radiation mechanisms (electron scattering, synchrotron emission, collisional excitation, and more) and radiative transfer through matter including absorption and emission. Includes such observational astrophysics topics as spectroscopic study of atoms and nuclei, X-rays, and cosmic rays."
"Solar System and Extrasolar Planets","PHYSICS 241A","PHYSICS - Physics and Astronomy","Formation, evolution, and habitability of planetary systems. Observational and theoretical study of the origin and evolution of the Solar System, present day dynamical state of the Solar System (asteroids, Kuiper Belt Objects, Oort cloud), planetary atmospheres, processes governing planetary climate.Corequisite:PHYSICS 242Restriction: Graduate students only."
"Stellar Astrophysics","PHYSICS 241B","PHYSICS - Physics and Astronomy","Physics of stellar interiors and equations of stellar structure. Stellar atmospheres and absorption processes. Introduction to stellar winds. Thermonuclear reactions, nucleosynthesis, and solar neutrinos. Binary stars and mass accretion. White dwarfs, supernovae, neutron stars, and black holes.Prerequisite:PHYSICS 242.PHYSICS 242with a grade of B- or better"
"Extragalactic Astrophysics","PHYSICS 241C","PHYSICS - Physics and Astronomy","The physics and phenomenology of galaxies; star formation, interstellar medium, and intergalactic medium. Galaxy structure and dynamics. Galaxy evolution, stellar populations, and scaling relations; the relationship between galaxy properties and environment. Galaxy clusters and active galactic nuclei.Prerequisite:PHYSICS 242.PHYSICS 242with a grade of B- or better"
"Early Universe Physics","PHYSICS 241D","PHYSICS - Physics and Astronomy","Includes a thorough quantum treatment of the generation of perturbations during inflation and various topics related to kinetic theory in an expanding Universe. Other topics include the astrophysics and cosmology of weakly interacting particles.Prerequisite:PHYSICS 240B.PHYSICS 240Bwith a grade of B- or better"
"Astro Fundamentals","PHYSICS 242","PHYSICS - Physics and Astronomy","Introduction to topics in astrophysics including measurement of stellar properties, stellar structure and evolution, stellar remnants and supernovae, the interstellar medium, exoplanets, gravitational lensing, galactic structure, extragalactic distance measurements, and the expanding universe.Restriction: Graduate students only."
"Special Topics in Astrophysics","PHYSICS 246","PHYSICS - Physics and Astronomy",""
"Special Topics in Particle Physics","PHYSICS 247","PHYSICS - Physics and Astronomy",""
"Special Topics in Condensed Matter Physics","PHYSICS 248","PHYSICS - Physics and Astronomy","Outlines and emphasizes a subarea of condensed matter physics that is undergoing rapid development.Repeatability: Unlimited as topics vary.Restriction: Graduate students only."
"Special Topics in Plasma Physics","PHYSICS 249","PHYSICS - Physics and Astronomy",""
"Physics and Astronomy Communications Skills","PHYSICS 250","PHYSICS - Physics and Astronomy","Fundamentals of effectively communicating research through written and oral platforms. Topics include writing compelling proposals and journal articles for peer review, and the development of engaging oral presentations of science results and significance to a wide range of audiences.Restriction: Graduate students only."
"General Relativity","PHYSICS 255","PHYSICS - Physics and Astronomy","An introduction to Einstein’s theory of gravitation. Tensor analysis, Einstein’s field equations, astronomical tests of Einstein’s theory, gravitational waves."
"Seminar in Condensed Matter Physics","PHYSICS 260A","PHYSICS - Physics and Astronomy",""
"Seminar in Condensed Matter Physics","PHYSICS 260B","PHYSICS - Physics and Astronomy",""
"Seminar in Condensed Matter Physics","PHYSICS 260C","PHYSICS - Physics and Astronomy",""
"Seminar in Plasma Physics","PHYSICS 261A","PHYSICS - Physics and Astronomy","Advanced topics in plasma physics:  wave propagation, nonlinear effects, kinetic theory and turbulence, stability problems, transport coefficients, containment, and diagnostics. Applications to controlled fusion and astrophysics.Grading Option: Satisfactory/unsatisfactory only.Restriction: Graduate students only."
"Seminar in Plasma Physics","PHYSICS 261B","PHYSICS - Physics and Astronomy","Advanced topics in plasma physics:  wave propagation, nonlinear effects, kinetic theory and turbulence, stability problems, transport coefficients, containment, and diagnostics. Applications to controlled fusion and astrophysics.Grading Option: Satisfactory/unsatisfactory only.Restriction: Graduate students only."
"Seminar in Plasma Physics","PHYSICS 261C","PHYSICS - Physics and Astronomy","Advanced topics in plasma physics:  wave propagation, nonlinear effects, kinetic theory and turbulence, stability problems, transport coefficients, containment, and diagnostics. Applications to controlled fusion and astrophysics.Grading Option: Satisfactory/unsatisfactory only.Restriction: Graduate students only."
"Seminar in Particle Physics","PHYSICS 263A","PHYSICS - Physics and Astronomy",""
"Seminar in Particle Physics","PHYSICS 263B","PHYSICS - Physics and Astronomy",""
"Seminar in Particle Physics","PHYSICS 263C","PHYSICS - Physics and Astronomy",""
"Seminar in Astrophysics","PHYSICS 265A","PHYSICS - Physics and Astronomy",""
"Seminar in Astrophysics","PHYSICS 265B","PHYSICS - Physics and Astronomy",""
"Seminar in Astrophysics","PHYSICS 265C","PHYSICS - Physics and Astronomy",""
"Current Topics in Chemical, Applied, and Materials Physics","PHYSICS 266","PHYSICS - Physics and Astronomy",""
"Seminar in Systems Microbiology Research","PHYSICS 268","PHYSICS - Physics and Astronomy",""
"Seminar in Teaching Physics","PHYSICS 269","PHYSICS - Physics and Astronomy","Techniques for effective teaching.  Covers active listening and student engagement, problem-solving skills, peer instruction and collaborative learning, and evaluation.  Required of all new Teaching Assistants.Grading Option: Satisfactory/unsatisfactory only."
"Technical Communication Skills","PHYSICS 273","PHYSICS - Physics and Astronomy","Development of effective communication skills, oral and written presentations, through examples and practice.Grading Option: Satisfactory/unsatisfactory only.Same asCHEM 273."
"Research Seminar","PHYSICS 291","PHYSICS - Physics and Astronomy",""
"Experimental Research","PHYSICS 295","PHYSICS - Physics and Astronomy",""
"Theoretical Research","PHYSICS 296","PHYSICS - Physics and Astronomy",""
"Physics Colloquium","PHYSICS 298","PHYSICS - Physics and Astronomy",""
"Reading of Special Topic","PHYSICS 299","PHYSICS - Physics and Astronomy","With special consent from a faculty member who will agree to supervise the program, a student may receive course credit for individual study of some area of physics.Restriction: Graduate students only."
"Laboratory Teaching","PHYSICS 395","PHYSICS - Physics and Astronomy",""
"University Teaching","PHYSICS 399","PHYSICS - Physics and Astronomy",""
"Basic Physics I","PHYSICS 3A","PHYSICS - Physics and Astronomy","Introductory physics with applications to life sciences. Vectors; motion, force, and energy.Corequisite:MATH 2AorMATH 5APrerequisite:MATH 2AorMATH 5Aor AP Calculus AB or AP69. AP Calculus AB with a minimum score of 3. AP69 with a minimum score of 3Restriction:PHYSICS 3Amay not be taken for credit if taken afterPHYSICS 7C.(II and VA )."
"Basic Physics II","PHYSICS 3B","PHYSICS - Physics and Astronomy","Introductory physics with applications to life sciences. Energy and thermodynamics; waves and sound; optics.Prerequisite:PHYSICS 3Aor AP Physics C: Mechanics. AP Physics C: Mechanics with a minimum score of 5(II and VA )."
"Basic Physics III","PHYSICS 3C","PHYSICS - Physics and Astronomy","Introductory physics with applications to life sciences. Electricity and magnetism; electromagnetic waves; modern physics.Corequisite:MATH 2BorMATH 5BPrerequisite:PHYSICS 3Aor AP Physics C: Mechanics. AP Physics C: Mechanics with a minimum score of 5. A score of 4 or higher on the AP Calculus BC exam(II and Va )."
"Basic Physics Laboratory","PHYSICS 3LB","PHYSICS - Physics and Astronomy","Practical applications of electronics and classical physics to biology. Goals include skill to use oscilloscope and other basic instrumentation. Materials fee."
"Basic Physics Laboratory","PHYSICS 3LC","PHYSICS - Physics and Astronomy","Practical applications of physics to medical imaging.  Topics include optics, radioactivity, and acoustics. Materials fee."
"Introductory Mathematical Physics","PHYSICS 50","PHYSICS - Physics and Astronomy","Introduction to math methods for upper-division physics. Taylor and Fourier series; complex algebra; ordinary differential equations; matrices, tensors and vector spaces; eigensystems; orthogonal coordinates; vector calculus and fields. Symbolic computation with Mathematica is incorporated through-out.Corequisite:MATH 2EPrerequisite:MATH 3AOverlaps withPHYSICS 100.Restriction: Physics Majors have first consideration for enrollment."
"Modern Physics","PHYSICS 51A","PHYSICS - Physics and Astronomy","Wave-particle duality; quantum mechanics; special relativity; statistical mechanics.Prerequisite: (PHYSICS 7EorPHYSICS 3C) andMATH 2DOverlaps withPHYSICS 61A.Restriction: No Physics Majors."
"Fundamentals of Experimental Physics","PHYSICS 52A","PHYSICS - Physics and Astronomy","Optics: lenses, mirrors, polarization, lasers, optical fibers, interference, spectra. Materials fee.Corequisite:PHYSICS 7EorPHYSICS 3C.Restriction: Physics Majors have first consideration for enrollment."
"Fundamentals of Experimental Physics","PHYSICS 52B","PHYSICS - Physics and Astronomy","Circuits: oscilloscope, meters, DC and AC circuits. Materials fee.Prerequisite:PHYSICS 7DorPHYSICS 3BRestriction: Physics Majors have first consideration for enrollment."
"Fundamentals of Experimental Physics","PHYSICS 52C","PHYSICS - Physics and Astronomy","Data analysis: random and systematic errors, curve fitting; nuclear counting; quantum experiments. Error analysis: random and systematic errors, curve fitting, nuclear counting, and quantum experiments. Materials fee.Prerequisite:PHYSICS 51AorPHYSICS 61ARestriction: Physics Majors have first consideration for enrollment."
"Introduction to Programming and Numerical Analysis","PHYSICS 53","PHYSICS - Physics and Astronomy","Introduction to structured programming; in-depth training in python. Elementary numerical methods applied to physics problems.Prerequisite:MATH 3AandMATH 3DRestriction: Physics Majors have first consideration for enrollment."
"Thermal Physics","PHYSICS 60","PHYSICS - Physics and Astronomy","Introduction to thermodynamics and systems of many particles. Topics include first and second laws of thermodynamics, ideal gas laws, kinetic theory, heat engines and refrigerators, thermodynamic potentials, phase transitions, dilute solutions, chemical equilibrium, and basic statistical distributions.Prerequisite: (PHYSICS 7EorPHYSICS 3C) andMATH 2DRestriction: Physics Majors only."
"Modern Physics for Majors","PHYSICS 61A","PHYSICS - Physics and Astronomy","Special relativity; Heisenberg Uncertainty Principle and wave-particle duality; the Schrödinger equation.Prerequisite: (PHYSICS 7EorPHYSICS 3C) andMATH 2DOverlaps withPHYSICS 51A.Restriction: Physics Majors only."
"Modern Physics for Majors","PHYSICS 61B","PHYSICS - Physics and Astronomy","Hydrogen atom; spin and angular momentum; multi-electron atoms and the periodic table; introductions to nuclear physics, particle physics, and cosmology.Prerequisite:PHYSICS 61AorPHYSICS 51ARestriction: Physics Majors only."
"Introduction to Astrophysics","PHYSICS 61C","PHYSICS - Physics and Astronomy","Introduction to fundamental topics in astrophysics, including stellar structure and evolution; stellar remnants; detection and characterization of exoplanets; physics of interstellar gas and star-forming regions.Prerequisite:PHYSICS 61AorPHYSICS 51A"
"Classical Physics","PHYSICS 7C","PHYSICS - Physics and Astronomy","Topics include force, energy, momentum, rotation, and gravity.Corequisite:MATH 2BPrerequisite: Recommended:PHYS 2or (MATH 2Dand (CHEM 1CorCHEM H2CorCHEM M3C) orCHEM M2C) or AP Physics C: Mechanics or AP Physics C: Electricity and Magnetism or SAT Mathematics or ACT Mathematics or passing score on self-assessment test.PHYS 2with a grade of C or better. AP Physics C: Mechanics with a minimum score of 4. AP Physics C: Electricity and Magnetism with a minimum score of 4. SAT Mathematics with a minimum score of 650. ACT Mathematics with a minimum score of 27. Students are recommended to take a self-assessment test provided by the UCI Department of Physics and Astronomy. If the student can fairly easily answer at least 75 percent of the questions with a calculator, but no other help, then the student is ready to take Physics 7C and should enroll in it if they have completed one year of high school physics and are Math 2B ready (or have credit for Math 2B).Restriction: Some offerings restricted to Physics Majors.(II and VA )."
"Classical Physics","PHYSICS 7D","PHYSICS - Physics and Astronomy","Electricity and magnetism.Corequisite:PHYSICS 7LDandMATH 2DPrerequisite:PHYSICS 7Cand (MATH 2Bor AP Calculus BC). AP Calculus BC with a minimum score of 4Restriction: Physics Majors have first consideration for enrollment.(II and Va )."
"Classical Physics","PHYSICS 7E","PHYSICS - Physics and Astronomy","Fluids; oscillations; waves; and optics.Prerequisite:PHYSICS 7CandMATH 2BRestriction: Physics Majors have first consideration for enrollment.(II and VA )."
"Classical Physics Laboratory","PHYSICS 7LC","PHYSICS - Physics and Astronomy","Experiments related to lecture topics in Physics 7C. Materials fee.Corequisite:PHYSICS 7CRestriction: Physics Majors have first consideration for enrollment."
"Classical Physics Laboratory","PHYSICS 7LD","PHYSICS - Physics and Astronomy","Electricity and magnetism.Corequisite:PHYSICS 7DRestriction: Physics Majors have first consideration for enrollment."
"Current Topics in Physics","PHYSICS 99","PHYSICS - Physics and Astronomy","Designed to introduce undergraduate students to current topics in physics. Focus is discussion of selected readings on current research issues.Repeatability: Unlimited as topics vary."
"Honors Thesis in Physics I","PHYSICS H196A","PHYSICS - Physics and Astronomy","Independent research for seniors conducted under the guidance of a faculty member. Students’ research results are discussed in oral presentations, and a written proposal, progress report, and thesis are submitted.Corequisite:PHYSICS 194Overlaps withPHYSICS 196A.Restriction: Physics Majors only. Campuswide Honors Collegium students only. Honors Program in Physics students only."
