"code","level","title","description","credits"
"COMM 3189","Undergraduate","Freelance Journalism Experience","Practicing journalism as a freelance reporter.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 9 completions. This course is graded S/U.","1 - 3"
"COMM 2367","Undergraduate","Persuasive Communication","This course is designed to increase your understanding of persuasive communication as it relates to citizenship and the American experience. As an advanced level writing course, the course is specifically designed to improve your persuasive writing, speaking, and critical thinking skills as specific citizenship behaviors.
Prereq: Completion of GE Foundation Writing and Information Literacy course. Not open to students with credit for 2367H. GE writing and comm course: level 2. GE theme citizenship for div and just wrld course.",3
"COMM 3620","Undergraduate","Introduction to Interpersonal Communication","Analysis of the role of interpersonal communication to begin relationships, achieve intimacy, sustain a certain relational status and terminate relationships.
Prereq: Not open to students with credit for 320.",3
"COMM 4193","Undergraduate","Individual Studies","Students make extensive and significant studies in the field of journalism or communication.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"COMM 4998","Undergraduate","Undergraduate Research","Supervised collaborative research in Communication.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 8 completions. This course is graded S/U.","1 - 15"
"EEOB 3191","Undergraduate","Undergraduate Internship","Internship held as undergraduate for credit.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"EEOB 3193","Undergraduate","Undergraduate Individual Studies","Individual work in the field of the chosen problem.
Prereq: 8 cr hrs in Biological Sciences. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"EEOB 4998","Undergraduate","Undergraduate Research","Undergraduate research in evolution, ecology, and organismal biology.
Prereq: 2 courses in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"EEOB 4999","Undergraduate","Undergraduate Thesis Research","Undergraduate research towards a thesis in Evolution and Ecology, or Zoology.
Prereq: 8 cr hrs in Biological Sciences, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 5 completions. This course is graded S/U.","1 - 12"
"CSE 4193","Undergraduate","Individual Studies in Computer Science and Engineering","Designed to give the student an opportunity to pursue special studies not otherwise offered.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"CSE 4998H","Undergraduate","Undergraduate Research in Computer Science and Engineering","Opportunity for undergraduate student to conduct research in Computer Science and Engineering.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"CSE 4998","Undergraduate","Undergraduate Research in Computer Science and Engineering","Opportunity for undergraduate student to conduct research in Computer Science and Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"CSE 4999H","Undergraduate","Computer Science and Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"CSE 4999","Undergraduate","Computer Science and Engineering Research for Thesis","Supervised research and project work arranged individually.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 10"
"CSE 4191","Undergraduate","Professional Practice in Industry","Preparation and submission of a comprehensive report based on actual employment experience in a co-op job in industry.
Prereq: Permission of the CSE Advising Office. Repeatable to a maximum of 8 completions. This course is progress graded (S/U).",0
"COMPSTD 1100","Undergraduate","Intro to the Humanities: Cross-Cultural Perspectives","This introductory course is designed to survey some of the current preoccupations in the Humanities, especially as they relate to culture, power, and identity. Instructors of 1100 seek to present relevant issues in comparative cultural study, employing a mix of cultural theory, current events, and literature, visual, and performing arts with a focus on race, ethnicity, and gender.
Prereq: Not open to students with credit for 1100H. GE lit and diversity global studies course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course.",3
"RELSTDS 2102.01","Undergraduate","Literature and Religion","Study of relationships between religion and secular literature; analysis of religious and spiritual elements of literature and film of diverse cultures and historical periods.
Prereq: English 1110 (110) or equiv. Not open to students with credit for 2102.01H, CompStd 2102.01 (202.01), or 2102.01H (202.01H). GE lit and diversity global studies course. GE foundation lit, vis and performing arts course.",3
"COMPSTD 2105","Undergraduate","Literature and Ethnicity","This course examines literary representations of ethnicity refracted through experiences of racialization and gender in an American cultural context.
Prereq: English 1110.xx, or GE foundation writing and info literacy course. GE lit and diversity soc div in the US course. GE foundation lit, vis and performing arts and race, ethnicity and gender div course.",3
"COMPSTD 2350H","Undergraduate","Introduction to Folklore","A general study of the field of folklore including basic approaches and a survey of primary folk materials: folktales, legends, folksongs, ballads, and folk beliefs.
Prereq: Honors standing, and English 1110 or equiv. Not open to students with credit for 2350, English 2270, or 2270H. GE cultures and ideas course. GE foundation historical and cultural studies and race, ethnicity and gender div course. Cross-listed in English 2270H.",3
"COMPSTD 2350","Undergraduate","Introduction to Folklore","A general study of the field of folklore including basic approaches and a survey of primary folk materials: folktales, legends, folksongs, ballads, and folk beliefs.
Prereq: GE foundation writing and info literacy course.Not open to students with credit for 2350H, English 2270, or 2270H. GE cultures and ideas course. GE foundation historical and cultural studies and race, ethnicity and gender div course. Cross-listed in English 2270.",3
"COMPSTD 2367.08","Undergraduate","American Identity in the World","American culture viewed from inside and from the perspective of foreign cultures, as seen in literature, film, art, music, journalism, folklore, and popular culture. GEL students should complete English 1110 prior to enrollment.
Prereq: EduTL 1902, or 1902.04, or IELP WRITE score of 80, or English Placement Level 4, or English 1110.xx or equivalent. Not open to students with credit for 2367.08H. GE writing and comm: level 2 and cultures and ideas and diversity soc div in the US course. GE foundation writing and info literacy and historical and cultural studies course.",3
"RELSTDS 2370","Undergraduate","Introduction to Comparative Religion","Introduction to the academic study of religion through comparison among major traditions (Judaism, Christianity, Islam, Hinduism, Buddhism, etc.) and smaller communities.
Prereq: English 1110 or equiv. Not open to students with credit for 2370H or CompStd 2370H or 2370. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies and race, ethnicity and gender div course.",3
"COMPSTD 3686","Undergraduate","Cultural Studies of American Musics","Investigation of the social, political, and cultural contexts of the development of popular musics in the U.S.
Prereq: English 1110 or equiv. GE VPA and diversity soc div in the US course. GE foundation lit, vis and performing arts course.",3
"COMPSTD 4998","Undergraduate","Undergraduate Research in Comparative Studies","Undergraduate research in variable topics; independent study.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 9"
"COMPSTD 4999","Undergraduate","Undergraduate Thesis","Independent study for 4th-year students wishing to complete a senior thesis.
Prereq: Sr standing, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions. This course is graded S/U.","1 - 6"
"COMPSTD 4597.03","Undergraduate","Global Folklore","Examines contemporary folklore around the world; introduces students to key concepts in folklore scholarship; focuses on transmission and transformation of cultural knowledge and practice, particularly in situations of conflict or upheaval.
Prereq: Jr standing, or permission of the instructor. GE diversity global studies and cross-disciplinary seminar course. GE theme migration, mobility, and immobility course.",3
"PHILOS 1300","Undergraduate","Introduction to Ethics","The nature of right and wrong, good and evil; the grounds of moral choice and decision; the resolution of moral conflicts.
GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"PHILOS 1332","Undergraduate","Ethics in the Professions: Introduction to Engineering Ethics","An examination of contemporary issues in engineering ethics in the context of major ethical theories.
Prereq: Not open to students with credit for 1300. GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"PHILOS 5193","Graduate","Individual Studies","Individual Studies. Students ordinarily earn from 1 to 3 cr hrs, but honors students may earn up to 6 cr hrs.
Prereq: Permission of dept chairperson. Repeatable to a maximum of 6 cr hrs or 2 completions. This course is graded S/U.","1 - 6"
"PHILOS 4999H","Undergraduate","Honors Thesis Research","A program of reading arranged for each student, with individual conferences, reports, and papers. Failure to receive a mark of S in this course is a disqualification for special honors.
Prereq: Sr standing with a grade of A in at least half of the Philos courses taken and with an average of B in the remainder; permission of instructor under whose supervision the work is to be completed and the Arts and Sciences Honors Committee. At least 1 semester is required of candidates for the BA with distinction in Philos. Repeatable to a maximum of 9 cr hrs and 3 completions. This course is graded S/U.","1 - 4"
"PHILOS 4999","Undergraduate","Thesis Research","A program of reading arranged for each student, with individual conferences, reports, and papers.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 4"
"PHILOS 4998H","Undergraduate","Honors Undergraduate Research in Philosophy","Undergraduate research in variable topics; independent study.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"PHILOS 2465","Undergraduate","Death and the Meaning of Life","Explore the question of whether there is a relation between mortality and a meaningful life.
GE lit course. GE theme health and well-being course.",3
"PHILOS 1420","Undergraduate","Philosophical Approaches to Racism and Sexism","An introductory survey of philosophical ways of thinking about and remedying racism and sexism.
GE foundation race, ethnicity and gender div course.",3
"PHILOS 2338","Undergraduate","Computing Ethics for a Just and Diverse World","This course provides students in computer science fields analytical and critical tools to become ethically attuned citizens who promote and sustain justice in a diverse world.
Prereq: GE foundation writing and info literacy course. GE theme citizenship for div and just wrld course, High-Impact Practice Research and Creative Inquiry.",4
"PHILOS 2332.01","Undergraduate","Engineering Ethics for a Diverse and Just World","This course provides students in engineering fields analytical and critical tools to become ethically attuned citizens who promote and sustain justice in a diverse world.
GE theme citizenship for div and just wrld course.
Prereq: Not open to students with credit for 2332.02.",3
"JAPANSE 1101.01","Undergraduate","Level One Japanese I: Classroom Track","Standard Japanese at the elementary level, with emphasis on building & applying basic language knowledge in doing things in Japanese; exercises in oral interactions & interactions involving text; introduction to the Japanese writing system. Not open to native speakers of this language through regular course enrollment or EM credits, or to students with 3 or more years of study in this language.
Prereq: Not open to students with credit for 1101.02  (101.01) or 4 credits of 1101.51 (101.51). This course is available for EM credit. GE for lang course. GE world languages course. FL Admis Cond course.",4
"CHINESE 2141.01","Undergraduate","Intensive Level Two Chinese-Oral: Classroom Track","First course in the sequence of intensive intermediate Chinese language courses focusing on speaking and listening. Closed to native speakers of this language, or to students with 3 or more years of study in this language in high school.
Au Sem. 
Prereq: 1102.01, or 1102.02, or 4 cr hrs in 1102.51, or permission of instructor, or Chinese Placement Level 6. Not open to students with credit for 1103.xx or 2141.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"KOREAN 1102.51","Undergraduate","Level One Korean II: Individualized Instruction","Continuation of 1101. Individualized Track. Progress is sequential from one cr hr to the next with a demonstrated proficiency at the level of 80% required for advancement.
Prereq: 1101.01 or 1101.02, or 4 cr hrs of 1101.51 or equiv. Advancement to the first credit in this course in the same semester as the completion of the 4th credit for 1101.51 requires registration for both courses, with permission of instructor. Not open to students with credit for 102.51, 103.51, or to native speakers of this language through regular course enrollment or EM credit. Repeatable to a maximum of 4 cr hrs or 4 completions. This course is available for EM credit. GE for lang course. GE world languages course. FL Admis Cond course.","1 - 4"
"KOREAN 1103.01","Undergraduate","Level Two Korean I: Classroom Track","Modern Korean intermediate level spoken communication, development of reading skills, and written composition. Classroom Track. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 1102.01, 1102.02, 1102.03, 1102.05, or 4 sem cr hrs of 1102.51, or equiv., or Korean Placement Level 7. This course is available for EM credit. GE for lang course. GE world languages course.",4
"KOREAN 4102.51","Undergraduate","Level Three Korean II: Individualized Track","Continuation of 4101. Individualized Track. Progress is sequential from one cr hr to the next with a demonstrated proficiency at the level of 80% required for advancement.
Prereq: 4101 or equivalent with permission of instructor. Advancement to the first credit in this course in the same semester as the completion of the 5th credit for 4102.51 requires registration for both courses, with permission of instructor. Not open to students with credit for 508.51 or 509.51. Repeatable to a maximum of 5 cr hrs or 5 completions. This course is available for EM credit.","1 - 5"
"JAPANSE 1103.01","Undergraduate","Level Two Japanese I: Classroom Track","Continuation of 1102.01, 1102.02, or 4 credits of 1101.51; expanding oral and written communicative strategy building. Students must complete 4 units during the semester. Not open to native speakers of this language through regular course enrollment or EM credit.
Au Sem. 
Prereq: 1102.01, 1102.02, or 4 units of 1102.51, or Japanese Placement Level 7. Not open to students with credit for 1103 or 4 credits of 1103.51. This course is available for EM credit. GE for lang course. GE world languages course.",4
"CHINESE 2232","Undergraduate","Modern Chinese Culture","Modern Chinese culture as reflected in family life, language, literature, art, and film viewed from the perspective of modern Chinese history. Taught in English.
Prereq: Not open to students with credit for 232. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies course.",3
"CHINESE 4193","Undergraduate","Individual Studies","Directed study to meet individual research needs of students in Chinese studies. Not a substitute for regular language courses.
Prereq: Permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions.","1 - 3"
"CHINESE 4403","Undergraduate","Modern Chinese Literature in Translation","Chinese fiction and/or drama from the late 19th century to the present. Taught in English.
Prereq: Not open to students with credit for 503. GE lit and diversity global studies course. GE foundation lit, vis and performing arts course.",3
"CHINESE 4999","Undergraduate","Undergraduate Research Thesis","Focused research toward completion of an original thesis.
Prereq: Permission of instructor. Repeatable to a maximum of 6 cr hrs. This course is graded S/U.",3
"JAPANSE 4193","Undergraduate","Individual Studies","Directed study to meet individual research needs of students in Japanese studies. Not a substitute for regular language courses.
Prereq: Permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions.","1 - 3"
"JAPANSE 4101.61","Undergraduate","Level 3-I Online Individualized Instruction","Expanding intermediate-level oral and written communication in Japanese. Progress is sequential from 1 cr hr. to next. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 2102.01, 2102.02, 5 cr hrs of 2102.61, or concurrent registration in 2102.61 for the credit hours to complete 5 cr hrs of 2102.61. Not open to students with credit for 4101.01 or 5 cr hrs of 4101.61. Repeatable to a maximum of 5 cr hrs. This course is available for EM credit.","1 - 5"
"JAPANSE 4102.61","Undergraduate","Level 3-II Online Individualized Instruction","Expanding intermediate-level oral and written communication strategies. Progress is sequential from 1 cr hr. to next. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 4101, 4101.01, 5 cr hrs of 4101.61, or concurrent registration in 4101.61 for the credit hours to complete 5 cr hrs of 4101.61. Not open to students with credit for 4102, 4102.01, 5 cr hrs of 4102.61, or 4152. Repeatable to a maximum of 5 cr hrs. This course is available for EM credit.","1 - 5"
"CHINESE 1102.61","Undergraduate","Level One Chinese II: Individualized Track Online","Prereq: 1101.01 or 1101.02 or 4 cr hrs of 1101.51 or 1101.61, or permission of instructor. Credits from 1101.51 and 1101.61 may be combined to meet this requirement. Not open to students with credit for 1102.01, 1102.02, or 4 cr hrs of 1102.51 or 1102.61. Credits from 1102.51 and 1102.61 may be combined for this restriction. Repeatable to a maximum of 4 cr hrs. GE for lang course. GE world languages course.","1 - 4"
"HTHRHSC 1100.01","Undergraduate","Health and Rehabilitation Sciences Survey","Introduction to the University, the School of Health and Rehabilitation Sciences and its academic programs. Emphasis on strategies for success, resources and procedures.
Prereq: Must be enrolled in Pre-HthRhSc. This course is graded S/U.",1
"HTHRHSC 2530","Undergraduate","The Evolving Art and Science of Medicine","An analysis of the concepts of health and healing, coupled with an examination of historical developments that have impacted the art and science of the practice of medicine.
GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"HTHRHSC 4998","Undergraduate","Undergraduate Research in Health Science","Guided research by undergraduate students.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 15 completions. This course is graded S/U.","1 - 6"
"HTHRHSC 4193","Undergraduate","Undergraduate Independent Study","Guided study of selected topics.
Repeatable to a maximum of 15 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 3"
"HTHRHSC 3400","Undergraduate","Introduction to Health Promotion and Disease Prevention","An introduction to health promotion with an emphasis on the issues and factors that impact and influence health of individuals, groups and societies demonstrating the role of disciplinary research on identifying and addressing issues of health and health promotion.
GE theme health and well-being course.",3
"HTHRHSC 4000","Undergraduate","Application of Ethical Decision Making in Health Care","Participation in this course will include ongoing examination of ethical theories, bioethical principles, personal ethics, and an ethical decision-making process for application in the allied health professions. Ethics as it contributes to the definition of citizenship will be explicitly explored.
GE theme citizenship for div and just wrld course.",3
"HTHRHSC 4998H","Undergraduate","Honors Undergraduate Research in Health Science","Guided research by undergraduate honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 15 cr hrs or 15 completions. This course is graded S/U.","1 - 5"
"ENVENG 4998","Undergraduate","Undergraduate Research in Environmental Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4999H","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ENVENG 4999","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"CIVILEN 5571","Graduate","Principles of Foundation Analysis and Design","Design methods (classical and numerical) will be presented for the analysis of excavations, earth structures, shallow and deep foundations. The course introduces: site investigation techniques, failure mechanisms and design techniques of footings, drilled shafts, sheet piles, driven piles, anchors, tiebacks, and MSE walls, as well as, stability and settlement calculations.
Prereq or concur: 3540 and 3541; Grad standing; or permission of instructor.",3
"CIVILEN 5571","Undergraduate","Principles of Foundation Analysis and Design","Design methods (classical and numerical) will be presented for the analysis of excavations, earth structures, shallow and deep foundations. The course introduces: site investigation techniques, failure mechanisms and design techniques of footings, drilled shafts, sheet piles, driven piles, anchors, tiebacks, and MSE walls, as well as, stability and settlement calculations.
Prereq or concur: 3540 and 3541; Grad standing; or permission of instructor.",3
"CIVILEN 4999H","Undergraduate","Civil Engineering Research for Thesis","Supervised research and project work arranged individually for honors students.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ISLAM 3201","Undergraduate","Muslims in America and Europe: Citizenship and Living Between Worlds","What does it mean to live as modern Muslims in western societies? How do they cope with prejudice, Islamophobia, traditions, integration, war, migration, and new opportunities? We explore the experiences of religious minorities in the U.S. and Europe for Muslims whose families are originally from the Arab world, Iran, South Asia, Turkey, Southeast Asia, and Central Asia. 
Prereq: Not open to students with credit for NELC 3201. GE soc sci indivs and groups and diversity soc div in the US course. GE theme citizenship for div and just wrld course.",3
"PERSIAN 1101","Undergraduate","Elementary Persian I","Introduction to Persian; development of listening, reading, speaking, and writing skills. Closed to native speakers of this language.
This course is available for EM credit. GE for lang course. GE world languages course.",4
"SPHHRNG 5193","Undergraduate","Individual Studies","Conference, library, and laboratory work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 3"
"SPANISH 2242","Undergraduate","Introduction to Latinx Studies","Introduction to Latinx studies; history, politics, and cultural production of Latinx communities in the U.S. and its borderlands.
Prereq: GE foundation writing and info literacy course, or permission of instructor. Not open to students with credit for EthnStd 2242, or CompStd 2242, or 2322. GE cultures and ideas and diversity soc div in the US course. GE foundation historical and cultural studies and race, ethnicity and gender div course. Cross-listed EtnStd and CompStd.",3
"SPANISH 2506","Undergraduate","Latin American Culture in a Business Context","Examination of cultural differences and similarities between the U.S. and Latin America to understand the effects of conducting business with competent cultural understanding. Taught in English. Course applies to the Spanish Minor for Business.",3
"SPANISH 4557.10","Undergraduate","Introduction to Latino Literature in the U.S.","Introductory critical study of authors, topics, and movements in Latino literature from the late 19th century to the present.
Prereq: A grade of C- or above in 3450 (450) or 3450H (450H). Not open to students with credit for 557. FL Admis Cond course.",3
"SPANISH 4999H","Undergraduate","Honors Research","An individual program of research culminating in an Honors thesis and oral defense.
Prereq: Honors standing; and a grade of C- or above in 3450H (450H); and GPA 3.4 or above. Repeatable. This course is graded S/U. FL Admis Cond course.","1 - 9"
"QUECHUA 5503.01","Undergraduate","Intermediate Quechua I: Classroom","For  students who have taken Quechua 5502 (502) or who have previous basic knowledge of Quechua at the beginning/intermediate level. This course will be comprehensive, integrating culture and language from the southern Quechua family spoken in Peru.
Prereq: 5502.01 (502), or 4 cr hrs of 5502.51; or permission of instructor. Not open to students with credit for 5503.51 or 503 or to native speakers. This course is available for EM credit. GE for lang course. GE world languages course. FL Admis Cond course.",4
"PORTGSE 5501","Graduate","Portuguese for Spanish Speakers I","Rapid introduction to Portuguese language intended for students with at least high intermediate-level Spanish skills. Undergraduate and Graduate students with high-intermediate to advanced language skills in other Romance Languages may seek instructor permission to enroll.
Prereq or concur: Spanish 3401, 3403, 3404, or 3413, or equiv, or permission of instructor. Not open to students with credit for Portgse 1101.01, 1102.01, 1103.01, or equiv. GE for lang course",3
"PORTGSE 5501","Undergraduate","Portuguese for Spanish Speakers I","Rapid introduction to Portuguese language intended for students with at least high intermediate-level Spanish skills. Undergraduate and Graduate students with high-intermediate to advanced language skills in other Romance Languages may seek instructor permission to enroll.
Prereq or concur: Spanish 3401, 3403, 3404, or 3413, or equiv, or permission of instructor. Not open to students with credit for Portgse 1101.01, 1102.01, 1103.01, or equiv. GE for lang course",3
"JAPANSE 1101.01","Undergraduate","Level One Japanese I: Classroom Track","Standard Japanese at the elementary level, with emphasis on building & applying basic language knowledge in doing things in Japanese; exercises in oral interactions & interactions involving text; introduction to the Japanese writing system. Not open to native speakers of this language through regular course enrollment or EM credits, or to students with 3 or more years of study in this language.
Prereq: Not open to students with credit for 1101.02  (101.01) or 4 credits of 1101.51 (101.51). This course is available for EM credit. GE for lang course. GE world languages course. FL Admis Cond course.",4
"CHINESE 2141.01","Undergraduate","Intensive Level Two Chinese-Oral: Classroom Track","First course in the sequence of intensive intermediate Chinese language courses focusing on speaking and listening. Closed to native speakers of this language, or to students with 3 or more years of study in this language in high school.
Au Sem. 
Prereq: 1102.01, or 1102.02, or 4 cr hrs in 1102.51, or permission of instructor, or Chinese Placement Level 6. Not open to students with credit for 1103.xx or 2141.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"KOREAN 1102.51","Undergraduate","Level One Korean II: Individualized Instruction","Continuation of 1101. Individualized Track. Progress is sequential from one cr hr to the next with a demonstrated proficiency at the level of 80% required for advancement.
Prereq: 1101.01 or 1101.02, or 4 cr hrs of 1101.51 or equiv. Advancement to the first credit in this course in the same semester as the completion of the 4th credit for 1101.51 requires registration for both courses, with permission of instructor. Not open to students with credit for 102.51, 103.51, or to native speakers of this language through regular course enrollment or EM credit. Repeatable to a maximum of 4 cr hrs or 4 completions. This course is available for EM credit. GE for lang course. GE world languages course. FL Admis Cond course.","1 - 4"
"KOREAN 1103.01","Undergraduate","Level Two Korean I: Classroom Track","Modern Korean intermediate level spoken communication, development of reading skills, and written composition. Classroom Track. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 1102.01, 1102.02, 1102.03, 1102.05, or 4 sem cr hrs of 1102.51, or equiv., or Korean Placement Level 7. This course is available for EM credit. GE for lang course. GE world languages course.",4
"KOREAN 4102.51","Undergraduate","Level Three Korean II: Individualized Track","Continuation of 4101. Individualized Track. Progress is sequential from one cr hr to the next with a demonstrated proficiency at the level of 80% required for advancement.
Prereq: 4101 or equivalent with permission of instructor. Advancement to the first credit in this course in the same semester as the completion of the 5th credit for 4102.51 requires registration for both courses, with permission of instructor. Not open to students with credit for 508.51 or 509.51. Repeatable to a maximum of 5 cr hrs or 5 completions. This course is available for EM credit.","1 - 5"
"JAPANSE 1103.01","Undergraduate","Level Two Japanese I: Classroom Track","Continuation of 1102.01, 1102.02, or 4 credits of 1101.51; expanding oral and written communicative strategy building. Students must complete 4 units during the semester. Not open to native speakers of this language through regular course enrollment or EM credit.
Au Sem. 
Prereq: 1102.01, 1102.02, or 4 units of 1102.51, or Japanese Placement Level 7. Not open to students with credit for 1103 or 4 credits of 1103.51. This course is available for EM credit. GE for lang course. GE world languages course.",4
"PHILOS 5193","Graduate","Individual Studies","Individual Studies. Students ordinarily earn from 1 to 3 cr hrs, but honors students may earn up to 6 cr hrs.
Prereq: Permission of dept chairperson. Repeatable to a maximum of 6 cr hrs or 2 completions. This course is graded S/U.","1 - 6"
"CHINESE 4193","Undergraduate","Individual Studies","Directed study to meet individual research needs of students in Chinese studies. Not a substitute for regular language courses.
Prereq: Permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions.","1 - 3"
"PHILOS 4999H","Undergraduate","Honors Thesis Research","A program of reading arranged for each student, with individual conferences, reports, and papers. Failure to receive a mark of S in this course is a disqualification for special honors.
Prereq: Sr standing with a grade of A in at least half of the Philos courses taken and with an average of B in the remainder; permission of instructor under whose supervision the work is to be completed and the Arts and Sciences Honors Committee. At least 1 semester is required of candidates for the BA with distinction in Philos. Repeatable to a maximum of 9 cr hrs and 3 completions. This course is graded S/U.","1 - 4"
"PHILOS 4998H","Undergraduate","Honors Undergraduate Research in Philosophy","Undergraduate research in variable topics; independent study.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"PHILOS 2465","Undergraduate","Death and the Meaning of Life","Explore the question of whether there is a relation between mortality and a meaningful life.
GE lit course. GE theme health and well-being course.",3
"PHILOS 2338","Undergraduate","Computing Ethics for a Just and Diverse World","This course provides students in computer science fields analytical and critical tools to become ethically attuned citizens who promote and sustain justice in a diverse world.
Prereq: GE foundation writing and info literacy course. GE theme citizenship for div and just wrld course, High-Impact Practice Research and Creative Inquiry.",4
"JAPANSE 4101.61","Undergraduate","Level 3-I Online Individualized Instruction","Expanding intermediate-level oral and written communication in Japanese. Progress is sequential from 1 cr hr. to next. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 2102.01, 2102.02, 5 cr hrs of 2102.61, or concurrent registration in 2102.61 for the credit hours to complete 5 cr hrs of 2102.61. Not open to students with credit for 4101.01 or 5 cr hrs of 4101.61. Repeatable to a maximum of 5 cr hrs. This course is available for EM credit.","1 - 5"
"JAPANSE 4102.61","Undergraduate","Level 3-II Online Individualized Instruction","Expanding intermediate-level oral and written communication strategies. Progress is sequential from 1 cr hr. to next. Not open to native speakers of this language through regular course enrollment or EM credit.
Prereq: 4101, 4101.01, 5 cr hrs of 4101.61, or concurrent registration in 4101.61 for the credit hours to complete 5 cr hrs of 4101.61. Not open to students with credit for 4102, 4102.01, 5 cr hrs of 4102.61, or 4152. Repeatable to a maximum of 5 cr hrs. This course is available for EM credit.","1 - 5"
"CHINESE 1102.61","Undergraduate","Level One Chinese II: Individualized Track Online","Prereq: 1101.01 or 1101.02 or 4 cr hrs of 1101.51 or 1101.61, or permission of instructor. Credits from 1101.51 and 1101.61 may be combined to meet this requirement. Not open to students with credit for 1102.01, 1102.02, or 4 cr hrs of 1102.51 or 1102.61. Credits from 1102.51 and 1102.61 may be combined for this restriction. Repeatable to a maximum of 4 cr hrs. GE for lang course. GE world languages course.","1 - 4"
"HTHRHSC 1100.01","Undergraduate","Health and Rehabilitation Sciences Survey","Introduction to the University, the School of Health and Rehabilitation Sciences and its academic programs. Emphasis on strategies for success, resources and procedures.
Prereq: Must be enrolled in Pre-HthRhSc. This course is graded S/U.",1
"HTHRHSC 2530","Undergraduate","The Evolving Art and Science of Medicine","An analysis of the concepts of health and healing, coupled with an examination of historical developments that have impacted the art and science of the practice of medicine.
GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"HTHRHSC 4998","Undergraduate","Undergraduate Research in Health Science","Guided research by undergraduate students.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 15 completions. This course is graded S/U.","1 - 6"
