"code","level","title","department","description"
"NURSING-398G","Undergraduate","Psychiatric-Mental Health Nursing: Practicum","Nursing","The development of competencies in community-based care of clients in need of psychiatric mental health nursing services with the goal of promoting optimal mental health. Concurrent with NURSING 327. Prerequisite: successful completion of all Level I requirements."
"NURSING-398I","Undergraduate","Maternal-Newborn Nursing: Practicum","Nursing","This course focuses on providing care that positively affects health of pregnant women, newborns, parents and families. Principles of health and illness states, professional development, anticipatory guidance, parenting safety, assessment and management of individuals and families will be employed."
"NURSING-604","Graduate","Introduction to Statistics for Health Research: Computer Application and Analysis of Data","Nursing","This course focuses on introductory statistical techniques frequently used in health sciences research, use of analytic software and database creation and management."
"NURSING-614","Graduate","Advanced Health Assessment and Clinical Reasoning","Nursing","Classroom and laboratory practice and case-based approaches to health assessment and differential diagnosis of common health problems for diverse groups provide the context for advanced health assessment and clinical reasoning."
"NURSING-621","Graduate","Advanced Direct Care for Nurse Educators","Nursing","This supervised clinical practicum affords graduate students the opportunity to practice direct nursing care of diverse clients with varied needs in an identified area of nursing practice at an advanced level while collaborating with an interprofessional team."
"NURSING-641","Graduate","Curriculum Development and Evaluation Process in Nursing","Nursing","This course focuses on developing the knowledge and skills of nurse educators in applying principles of curriculum development, evaluation and related processes in nursing education."
"NURSING-643","Graduate","Assessment and Diagnosis of Psychiatric and Mental Disorders","Nursing","This course introduces the diagnostic processes in mental health/mental disorders using DSM 5 diagnostic criteria, ICD coding, and other mental assessment tools while considering family, community, and cultural influences."
"NURSING-651","Graduate","Nursing Ethics, Health Policy and Politics","Nursing","This course provides students with a framework for examining political and ethical issues that influence health care. Major elements of national health policy and politics will be analyzed."
"NURSING-698A","Graduate","Practicum for Advanced Health Assessment and Clinical Reasoning","Nursing","This first supervised clinical practicum affords graduate students the opportunity to practice health assessment at the highest level for diverse clients with varied needs while collaborating with an interdisciplinary team."
"NURSING-707","Graduate","Neuro-Psychopharmacology","Nursing","This course examines the pharmacological treatment of psychiatric mental health disorders and is structured to develop the student with a logical approach and treatment strategy to use when prescribing."
"NURSING-721","Graduate","Advanced Psychotherapy Modalities with Individuals, Groups &amp; Families","Nursing","This course continues preparing students in developing advanced skills to deliver individual, group, and family psychosocial therapeutics using two evidenced based psychosocial treatment models across the lifespan."
"NURSING-723","Graduate","Complex Health Problems in Primary Care I","Nursing","Fundamental to this first course is the refinement of advanced knowledge and skills required to deliver primary health care to culturally diverse patients of all ages with complex health problems"
"NURSING-725","Graduate","Leadership in Health Systems","Nursing","The course focuses on leadership theory, research, development, and practical competencies of contemporary leaders of health care systems."
"NURSING-760","Graduate","Contemporary Issues in Public Health Practice","Nursing","An examination of global issues in public health practice, emphasizing the exchange of ideas and identification of alternative approaches to addressing public health issues at the community and geopolitical level."
"NURSING-798GF","Graduate","Practicum- Advanced Psychotherapy Modalities with Individuals, Groups &amp; Families","Nursing","This course consists of a supervised clinical practicum experience in a community based inpatient or outpatient mental health care agency providing psychotherapeutic mental health care to individuals, groups and families."
"NURSING-798K","Graduate","P-Complex Health Problems in Primary Care and Advanced Role Practicum I","Nursing","This first course focuses on supervision in practicum experiences where DNP FNP students acquire competency while providing comprehensive, multifaceted, primary healthcare for patients of all ages with complex health problems."
"NURSING-798M","Graduate","Practicum-Contemporary Issues in Public Health Practice","Nursing","Description not available at this time"
"NURSING-798W","Graduate","Practicum- Capstone III DNP Project Proposal Finalization and Approval","Nursing","This course focuses on final discussion of and assignments regarding health intervention planning, implementation, and evaluation for the refinement and approval of the DNP Project proposal."
"NURSING-899","Graduate","Ph D Dissertation","Nursing","Contact department for description."
"NUTRITN-130","Undergraduate","Nutrition for a Healthy Lifestyle","Nutrition","Introduction to the science of human nutrition and the relationship of food and nutrients to health and disease. Topics covered include digestion, and functions of macro and micro nutrients as well as current recommendations for nutrient intake. We will also discuss energy balance and weight control. (Gen.Ed. BS)"
"NUTRITN-140","Undergraduate","Nutrition, Health, and Fitness","Nutrition","Concepts in basic nutrition, healthy weight and fitness. Topics include: dietary guidelines, meal planning, obesity and weight management, eating disorders, vegetarianism, sports nutrition, weight reduction diets, dietary supplements. (GenEd. BS)"
"NUTRITN-696","Graduate","Independent Study","Nutrition","Mainly for candidates for the Master of Science degree who do not write a thesis. Original research expected. Two bound copies of a written report of the study required by the department. Credit, 3-6."
"NUTRITN-698A","Graduate","Nutrn Prctcm DI P+1","Nutrition","Contact department for description."
"OIM-210","Undergraduate","Introduction to Business Information Systems","Operations and Information Management","Examines information technology from a business enterprise perspective. Topics include: the components and development of business information technology systems, their use in enhancing and facilitating management practices and decision making and their impact on management decisions."
"OIM-240","Undergraduate","Business Data Analysis","Operations and Information Management","This course introduces fundamental concepts and computations for statistical analysis of business data and real-world problems with an emphasis on understanding and interpreting statistical information, and using it to form sound judgments in business situations. The course covers basic descriptive statistical methods, sampling methodology, how to draw inferences from samples to larger populations and how to make predictions based upon historical relationships between variables. Theoretical background in descriptive and inferential statistical methods will be used support knowledge of the appropriate statistical test to perform in a given situation. The statistical methods that are covered in the course equip the student with the analytic reasoning and quantitative arguments that applies to all areas of business and management."
"OIM-301","Undergraduate","Introduction to Operations Management","Operations and Information Management","An introduction to operations management in manufacturing and service industries. Emphasis on learning the basic principles, using MS EXCEL, required to organize and manage service and manufacturing organizations. Topics may include improved facility layout, project management, supply-chain management, Just-in-Time systems, inventory management, scheduling, and work force management. Discussions of real world applications frequently used to demonstrate concepts."
"OIM-307","Undergraduate","Power Spreadsheets for Business Analysts","Operations and Information Management","This course provides an introduction to advanced spreadsheet techniques and programming using macros and Visual Basic for Applications (VBA) in Excel. The focus is on automation of repetitive tasks, including data manipulation as well as data analysis. Experience with Excel is recommended. No prior programming experience expected."
"OIM-350","Undergraduate","Business Intelligence and Analytics","Operations and Information Management","This course provides an introduction to business intelligence and analytics, including the processes, methodologies, infrastructure, and current practices used to transform business data into useful information and support business decision-making. Business Intelligence requires foundation knowledge in data models and data retrieval, thus this course will review logical data models for both relational database systems and data warehouses. Students will learn to extract and manipulate data from these systems using Structured Query Language (SQL). This course also covers visualization, reporting, and dashboard design with experiential learning using leading industry applications."
"OIM-451","Undergraduate","Information &amp; Project Management","Operations and Information Management","Provides an introduction to project management, focusing on the integration of business operations and information management, and techniques to effectively manage the implementation of such projects."
"ORG&amp;EVBI-699","Graduate","Masters Thesis","Organismic &amp; Evolutionary Biology","Independent research leading to a thesis."
"ORG&amp;EVBI-899","Graduate","Doctoral Dissertation","Organismic &amp; Evolutionary Biology","Independent research leading to a dissertation."
"PHIL-100","Undergraduate","Introduction To Philosophy","Philosophy","The goals of this course are two-fold: to develop and hone students&#039; analytical skills and to look at a number of the central issues in philosophy. Crucial to doing and understanding philosophy is an ability to present, explain, and evaluate arguments; throughout the course we will refine these abilities. By way of an introduction to a number of core philosophical issues we will take an in-depth look at one of the greatest works of philosophy of all time, Descartes&#039;s Meditations on First Philosophy. In it we will encounter skeptical arguments, arguments for the existence of God, and an argument for mind-body dualism. We will grapple with these issues in addition to questions about free will and ethics. (Gen. Ed. AL)"
"PHIL-105","Undergraduate","Practical Reasoning","Philosophy","This course covers methods for understanding and evaluating reasoning, arguments and inferences, of the sort found in daily life, political speeches, academic writing and beyond. We address such questions as: What is the structure of an argument? What considerations are relevant for determining its strength and cogency? What sorts of appeals to quantitative and scientific data are appropriate, and what sorts aren&#039;t? How can we understand and overcome cognitive biases?"
"PHIL-110","Undergraduate","Introduction To Logic","Philosophy","An introduction to symbolic logic, including sentential and predicate logic. Its purpose is to familiarize you with certain formal methods for representing and evaluating arguments and reasoning. These methods can be used not only for philosophy, but for any subject matter. The focus is on translating English statements into symbolic notation, and evaluating arguments for validity using formal proof techniques. (Gen. Ed. R2)"
"PHIL-160","Undergraduate","Introduction To Ethics","Philosophy","This course is an introduction to normative ethics. More specifically, we will focus on questions about what to do and how to live from a moral point of view. We will spend a large portion of the course discussing specific moral questions?e.g. it ever permissible to kill someone? How much of our income should we donate to charity? What are our obligations to animals? Is affirmative action permissible? What bearing does implicit bias have on ethical hiring practices? Should governments such as the United States pay reparations? But we will also look at proposals to give unified answers to all moral questions. Inevitably, we will pause to reflect on the moral questions themselves: What are we asking for when we ask whether something is morally wrong? Is it reasonable to expect a fully general answer to those questions? What makes for a `correct? answer to moral questions? We will not focus on giving particular answers to specific moral questions, but rather on learning how to give reasons for or against such answers. In addition to introducing you to the major moral theories and giving you some tools to answer specific moral questions, our goal will thus be to sharpen your ability to analyze, evaluate, and craft your own philosophical arguments. (Gen. Ed. SB, DU)"
"PHIL-164","Undergraduate","Medical Ethics","Philosophy","This class will provide an introduction of ethics, and its application to various issues in medicine, health care, and the use of pharmaceuticals. Topics may include: abortion, euthanasia, medical paternalism, medical experimentation, access to drugs, access to medical procedures, and the allocation of medical resources. (Gen. Ed. SB)"
"PHIL-180","Undergraduate","Death and the Meaning of Life","Philosophy","Introduction to theories and perspectives on death and the meaning of life as well as their implications for individuals and society. (Gen. Ed. SB, DG)"
"PHIL-899","Graduate","Ph D Dissertation","Philosophy",""
"PHYSICS-114","Undergraduate","Theory Sound with Applications to Speech and Hearing Science","Physics","Fundamentals of wave motion, vibration of strings, sound waves, resonance, harmonic analysis, sound intensity and the decibel, physics of the ear and theories of hearing, physics of speech, elementary properties of microphones and speakers. Prerequisite to SLHS 312. (Gen.Ed. PS)"
"PHYSICS-131","Undergraduate","Intro Physics I","Physics","Basic physical laws governing mechanics, thermodynamics, and waves; examples and applications from the biological sciences, with lab. High school algebra and basic trigonometry required. The recommended introductory physics course for majors in the biological sciences and related areas. (Gen.Ed. PS)"
"PHYSICS-132","Undergraduate","Intro Physics II","Physics","Basic principles of physics illustrated by example and demonstration, whenever possible, from the biological sciences, with lab. Topics: electricity, magnetism, radiation, optics, quantum theory, atomic structure, nuclear physics. Prerequisite: PHYSICS 131 or equivalent. (Gen.Ed. PS)"
"PHYSICS-151","Undergraduate","General Physics I","Physics","Kinematics, vectors and scalars, Newton&#039;s laws of motion, work and energy, impulse and momentum. Conservation laws. Collisions, oscillations, rotational dynamics, waves and sound, fluids, with Lab. Use of calculus in physics; problem-solving methods. Co-requisite: MATH 131. (GenEd. PS)"
"PHYSICS-152","Undergraduate","General Physics II","Physics","Heat, kinetic theory, first and second laws of thermodynamics, with lab. Comprehensive study of electricity and magnetism from Coulomb&#039;s law to Ampere&#039;s law. Applications to basic circuits and ending with AC circuits. (GenEd. PS)"
"PHYSICS-899","Graduate","Ph D Dissertation","Physics",""
"PLANTBIO-699","Graduate","Masters Thesis","Plant Biology",""
"PLANTBIO-899","Graduate","Ph D Dissertation","Plant Biology",""
"POLISCI-162","Undergraduate","Introduction to Constitutional Law","Political Science","Introduction to the American constitution as law. The importance of the text and the traditions of interpretation. The courts, congress, and the presidency. Also local power, the bill of rights, and the fourteenth amendment. (Gen.Ed. SB)"
"POLISCI-181","Undergraduate","Controversies in Public Policy","Political Science","Are you interested in developing your understanding and views on a broad range of public policy issues, and listening to those of others in an open, respectful, and inclusive classroom? Whether you know nothing about public policy or whether you have well-developed ideas, we&#039;ll have substantive and civil discussions about contemporary issues that affect us all, including immigration, trade and tariffs, international human rights, artificial intelligence, the environment, and many more. You&#039;ll also get to choose a topic that we&#039;ll discuss. The point is not just for you to learn what other people think but also to better understand, think for yourself, and articulate persuasively your own views about the policies your governments produce. There are no exams, and every assignment will help you develop professional skills useful to whatever you pursue after college. All course materials will be provided free to students. (Gen. Ed. SB, DU)"
"POLISCI-201","Undergraduate","American Politics Through Film","Political Science","Movies are used to explore the development of American politics. The forces that shaped our politics early in the century (immigration, reform, religion), the rise of &quot;big&quot; government in the depression and World War II years (the new roles of the federal government, the enhanced presidency, internationalism, and anti-communism), and selected issues (race, gender, modern campaigns) prominent since the 1960s. The meaning of political democracy in America and how our understanding of it has adapted to changing times and conditions. (Gen.Ed. HS)"
"POLISCI-210","Undergraduate","Race and American Politics","Political Science","This course explores both the historical and contemporary role(s) of race, ethnicity, and immigration in the construction and operation of American political life, and asks if DuBois&#039; &quot;color line&quot; remains a pressing problem in the twenty-first century."
"POLISCI-252","Undergraduate","Globalization, Governance, and World Order","Political Science","Reviews the multiple dimensions of globalization and their impact on international politics and human life. Studies the multiple state and non-state actors involved in international governance. Analyzes efforts to steer globalization and the implications for security, prosperity, justice, and ecological integrity. (Gen.Ed. SB, DG)"
"POLISCI-273","Undergraduate","Power","Political Science","Power is a central feature of political life and one of the key concepts of political science. This course will examine the main approaches and controversies in the study of power. We will investigate how these approaches help us to better understand how power operates in the real world by engaging with various case studies, including: how power works in prisons, schools, at home, in local and global politics, in an Appalachian mining town, a small village in Malaysia, and in countless ways in every day life. (Gen. Ed. DG, SB)"
"POLISCI-277","Undergraduate","Making a Global World","Political Science","The course is an overview of how the world went from being a set of very distinct regions, some unaware of others, c. 1450 to the highly connected world of today where cross-region interaction is so thick that it makes sense to speak of &quot;globalization.&quot; It pays attention to the changes in ideas, social beliefs and conventions (particularly in the political and economic realms), and human use of physical objects and the natural environment more generally to understand the rise of interconnection in 1870-1914, the decline between 1914-1945, and the reemergence of strong interconnection after 1970. (Gen.Ed. HS)"
"POLISCI-308","Undergraduate","Public Opinion in Politics","Political Science","This course explores the landscape of opinion on a variety of political topics to develop an understanding about how the public thinks about issues and why they think the way they do. It also examines how peoples&#039; opinions influence their behavior, and whether or not political leaders follow the &quot;will of the public&quot; or manipulate public opinion to achieve their own aims. Objectives for this course are: To understand how surveys are conducted, including sampling and questionnaire design, and how to interpret their results; To become familiar with political science theories about how people form opinions and how those opinions change; To recognize when and how elites can manipulate public opinion; and To evaluate the role of public opinion in a democratic system. Satisfies the Integrative Experience requirement for BA-PolSci majors."
"POLISCI-329","Undergraduate","Political Psychology","Political Science","This course provides an introduction to the field of political psychology. It focuses primary attention on psychological explanations of individual political attitudes and actions, among both elites as well as the masses."
"POLISCI-333","Undergraduate","Gov &amp; Pol Mid-East","Political Science","Contemporary Middle Eastern Politics"
"POLISCI-338","Undergraduate","Nationalism, Ethnicity &amp; Identity in Politics","Political Science","A comparative exploration of nationalism, ethnic conflict and identity-based politics in various parts of the world. Students learn about different theoretical approaches through historical and contemporary case studies of the relationship between identity and politics. Discussion of relevant films and literary texts supplements the course readings. Recommended prior: POLISCI 111 or 121 or equivalent. (Gen.Ed. SB)"
"POLISCI-359","Undergraduate","International Political Economy","Political Science","This course provides a thorough introduction to international political economy (IPE): the study of the dynamic interplay between international economics and politics. The course first reviews different theoretical approaches to analyzing and explaining governance in the contemporary international system and the basis for world order. It then covers a wide variety of contemporary issue areas in international political economy, including the politics of international trade, development, and international financial regulation. Satisfies the Integrative Experience requirement for BA-PolSci majors."
"POLISCI-371","Undergraduate","Conspiracy Theory and the American Imagination","Political Science","This course takes as holistic an approach as possible to American conspiracy theories, utilizing multiple lenses for comprehension and analysis of what makes conspiracy theories so compelling to so many individuals. On the one hand, the fuzziness of knowledge and fact production can make it difficult to tell what is objective fact and what is said purely for private/personal gain; on the other hand, human cognition tends to lead us down paths of confirmation bias, making the determination of reality doubly difficult. We do not want to be stepped on. We want to be affirmed, so that we can have a sense of worth and contentedness. When trouble strikes, though, where do we turn to for explanation and meaning? Are things really as they appear, or is something else out there? Who benefits from conflicted or chaotic moments, and why is it not us?"
"POLISCI-377","Undergraduate","Interpretation &amp; Analysis in Political Science","Political Science","Satisfies Junior Year Writing requirements for POLISCI majors, through assignments practicing the types of writing used by citizens, policy advisers, and politicians in public debates about contemporary issues."
"POLISCI-394DI","Undergraduate","Protest &amp; Dissent","Political Science","This course explores ideas and practices of political protest and dissent through a range of cases drawn from around the globe and utilizing the comparative method. We will explore such questions as, why do people protest? Against whom or what is protest directed? To achieve what ends? What forms of protest are employed? While political activism, marches, riots, strikes, and other tried-and-true forms of protest are easily recognizable, what are the other ways in which individuals and groups might register or express political dissent? What makes a particular act of protest or dissent political? We will utilize a wide range of sources, including scholarly writings, memoirs, primary documents, films, art, and more, to examine protest and dissent activities in a wide range of contexts. Satisfies the Integrative Experience requirement for BA-PolSci majors."
"POLYMER-899","Graduate","Ph D Dissertation","Polymer Science &amp; Engineering",""
"PORTUG-391M","Undergraduate","Seminar- Portuguese for Medical Professions","Portuguese",""
"PSYCH-100","Undergraduate","Introductory Psychology","Psychology and Brain Sciences","Overview of the field. The natural and social science sub-areas of psychology; includes biological psychology, cognitive psychology, social psychology, developmental psychology, and clinical psychology. Relating research and theories to contemporary issues and problems in day-to-day life. (Gen.Ed. SB)"
"PSYCH-240","Undergraduate","Statistics In Psychology","Psychology and Brain Sciences","Basic conceptual knowledge of statistical reasoning, skill in applying common statistical techniques. Topics include probability; measures of central tendency, variability, and correlation; and statistical inference involving one- and two-group means. (Gen.Ed. R2)"
"PSYCH-241","Undergraduate","Meth Inqry In Psych","Psychology and Brain Sciences","Research methods in psychology including single subject and group experiments, case studies, psychological test construction and observational field techniques. Emphasis on hands-on experience in labs and on lab reports."
"PSYCH-281","Undergraduate","Eating Disorders","Psychology and Brain Sciences","This course provides an introduction to the characteristics and criteria associated with a variety of forms of disordered eating. This course covers key features of the causes, presentation, and treatment of pica, avoidant restrictive food intake disorder, anorexia nervosa, bulimia, binge eating disorder, and compulsive overeating, among others. Attention is given to critical factors in the development and maintenance of eating disorders, including personality features, family characteristics, sexual orientation, sociocultural environment, and genetic influences. Special attention is dedicated to understanding eating disorders in women, men, athletes, and multicultural populations. The medical and physiological consequences of eating disorders are covered. Treatment strategies for those with eating disorders are reviewed, including nutritional, psychological and pharmacological forms of treatment. Strategies for preventing eating disorders are explored."
"PSYCH-315","Undergraduate","Cognitive Psych","Psychology and Brain Sciences","Human cognition, including attention, perception, memory, language processing, and problem solving."
"PSYCH-321","Undergraduate","Forensic Psychology","Psychology and Brain Sciences","If you have seen shows like Criminal Minds, Mindhunter, or CSI, then you are already familiar with the Hollywood version of Forensic Psychology. But what is fact and what is fiction? The aim of this course is to introduce students to the reality of how the field of psychology impacts nearly every aspect of our criminal justice system, from crimes to convictions. Specific topics include criminal profiling, interrogations, lie detection, eye-witness testimony, the insanity defense and insights into the criminal mind. We will discuss many controversial issues in the field of forensics and how research from a psychological perspective might be used to resolve them. Students will receive information from a variety of sources: crime documentaries, textbook readings, popular press articles, and guest speakers to help them learn about both the content and career opportunities in this relatively new and exciting field."
"PSYCH-330","Undergraduate","Introduction to Neuroscience","Psychology and Brain Sciences","An introduction to the neural basis of behavior. Topics include neuroanatomy, neuron function, the control of hunger, sex, sleep, emotion, drug addiction and memory."
"PSYCH-337","Undergraduate","Writing in Psychological and Brain Sciences","Psychology and Brain Sciences","This is a writing-intensive course that fulfills the University&#039;s Junior Writing requirement. Each section focuses on a particular aspect of current issues in psychology. The topic is selected based on the expertise of the teaching staff. All sections share similar writing assignments, ranging from in-class short writing assignments to lengthy papers that include literature review. Classes emphasize discussion and extensive peer review of written work. Topics for individual sections will not be available until shortly before the start of the semester."
"PSYCH-350","Undergraduate","Developmental Psychology","Psychology and Brain Sciences","An overview of developmental psychology beginning with prenatal development and continuing through infancy, childhood, and some adolescence. Topics include: prenatal and infant development, language and cognitive development, social and emotional development, and the biological foundations of development."
"PSYCH-355","Undergraduate","Adolescence","Psychology and Brain Sciences","Psychosocial dynamics of adolescents and young adults. Topics include physical and maturational development, theories of adolescence, family and peer group influences, sexuality, cognitive and vocational development, schooling and youth culture. Focus on basic principles and issues. Prerequisite: introductory psychology."
"PSYCH-360","Undergraduate","Social Psychology","Psychology and Brain Sciences","Major theories, research and applications in social psychology. Topics include: attitudes, social influence, helping, aggression, groups, interpersonal attraction. Prerequisite: introductory psychology."
"PSYCH-368","Undergraduate","Health Psychology","Psychology and Brain Sciences","Health psychology is devoted to understanding how psychological and social factors affect why people stay healthy, why they become ill, and how they respond when they do get ill. Health psychology is concerned with all aspects of health and illness across the life span. The three central issues that we will focus on in this class are the promotion and maintenance of health (e.g., how psychosocial factors influence smoking and obesity), the experience and development of pain and illness (e.g., how psychosocial factors influence pain and chronic illness), and the treatment of illness (e.g., how psychosocial factors influence health care interactions). When combined with Psych 494PI, this course will satisfy the Integrative Experience requirement for Psychology majors."
"PSYCH-370","Undergraduate","Personality","Psychology and Brain Sciences","Review of major theories of personality and analysis of selected problems in personality research. Prerequisite: introductory psychology. (Gen.Ed. SB)"
"PSYCH-380","Undergraduate","Adult Psychopathology","Psychology and Brain Sciences","Various forms of psychopathology, including anxiety, stress, affective, addictive, developmental, psychosexual, personality, and schizophrenic disorders. The major theoretical perspectives on psychopathology reviewed. Various approaches to treatment. Prerequisites: PSYCH 100 or 110"
"PSYCH-383","Undergraduate","Theory and Practice of Psychotherapy with Adults","Psychology and Brain Sciences","Survey of the major theories of counseling and psychotherapy. Introduction to the techniques used by different counselors and psychotherapists. When combined with Psych 494PI, this course will satisfy the Integrative Experience requirement for Psychology majors."
"PSYCH-384","Undergraduate","Childhood &amp; Adolescence Psychopathology","Psychology and Brain Sciences","This course offers an introduction to the field of child and adolescent psychopathology. We will review contemporary approaches to understanding the clinical features, diagnosis, causes, developmental course, and prevention of major psychological disorders in childhood and adolescence."
"PSYCH-387","Undergraduate","Autism","Psychology and Brain Sciences","This course will provide students with an overview of autism across the lifespan, through exploration of autistic narratives and empirical research. Students will learn about the principles of neurodiversity and disability justice and explore their role in the history of autism. Using an intersectional lens that includes race, gender, sexuality, and social class, students will critically evaluate how autism has been defined, diagnosed, and treated. This course will review biological and environmental factors that impact autistic people and prepare students to create a more inclusive society for autistic people through accommodation, support, and advocacy. When combined with Psych 494PI, this course will satisfy the Integrative Experience requirement for Psychology majors."
"PSYCH-391DC","Undergraduate","Seminar- Disability and Health Care","Psychology and Brain Sciences","In this seminar, students will explore a variety of topics related to disability and health care. Students will learn to challenge the pathology model of disability widespread among medical providers and institutions. Students will learn how to integrate elements of the social model of disability, the neurodiversity paradigm, disability justice and other disability affirming paradigms in their careers as health care providers. Students will learn about health care disparities experienced by disabled people and unpack its root causes."
"PSYCH-391PD","Undergraduate","Seminar- The Developmental Origins of Prejudice and Discrimination","Psychology and Brain Sciences","This seminar explores the psychological, cultural, and historical underpinnings of prejudice and discrimination, with an emphasis on developmental origins, where social bias may appear in young humans as early as infanthood. In addition to covering well-recognized forms of bias based on race, ethnicity, sex, gender identity, and religion, we&#039;ll examine intergroup dynamics more broadly, including topics such as stigma, power, privilege, and the exploitation of indigenous peoples, animals, and the natural environment. To gain a comprehensive perspective on prejudice, the seminar will include readings drawn from cross-cultural psychological research, historical and archival materials, mass media, and other sources. Perhaps most importantly, we&#039;ll discuss cutting edge research on the most effective techniques to reduce prejudice and promote social justice, especially starting at a young age."
"PSYCH-391W","Undergraduate","Seminar- Moral Psychology of Warfare","Psychology and Brain Sciences","This course explores how moral beliefs and behaviors adapt in response to war and conflict, with an emphasis on the psychological mechanisms that influence these shifts. Students will examine key concepts such as self-interest, collective narcissism, dehumanization, moral disengagement, and just war theory, alongside emerging issues like drone warfare and AI in combat."
"PSYCH-398A","Undergraduate","Prac-Ugrad Ta","Psychology and Brain Sciences","Not available at this time"
"PSYCH-405","Undergraduate","Human Stress&amp;Emotion","Psychology and Brain Sciences","Biological, psychological, and sociological determinants of human emotion, including such emotions as anger, grief, anxiety, and romantic love. The relationship between stress, coping and adaptation; its manifestation in functional and somatic disorders. Prerequisites: introductory psychology and two 300-level psychology courses."
"PSYCH-494PI","Undergraduate","Professional Development in Psychology","Psychology and Brain Sciences","Professional Development in Psychology is an exciting course designed to expose you to diverse career opportunities and prepare you for life after graduation. In this course you will reflect on and further develop the skills you gained in general education courses and apply them to your major by exploring real-world opportunities relevant to psychology. You will identify your overall skill set, engage in several networking events with guest speakers, and create a professional portfolio. You will review empirical literature regarding real world problems relevant to psychology majors and connect these events with potential career options."
"PSYCH-535","Graduate","Drugs &amp; Behavior","Psychology and Brain Sciences","Principles of pharmacology, behavioral testing, brain structure and neuron morphology, neurochemistry, mode and site of action of antianxiety and antipsychotic drugs, analgesics, hypnotics, sedatives, and anesthetics. Recreational drugs such as tobacco, alcohol, cocaine, amphetamines, discussed. Prerequisite: introductory psychology. Some chemistry recommended."
"PSYCH-899","Graduate","Ph D Dissertation","Psychology and Brain Sciences","Not available at this time"
"PUBHLTH-129","Undergraduate","Health Care For All","Public Health","U.S. health care system with emphasis on issues relating to unequal access to health services. An analysis of how the system should work. Special attention to controversial issues, including managed care and health insurance. How other countries design health systems. (Gen.Ed. SB, DU)"
"PUBHLTH-160","Undergraduate","My Body, My Health","Public Health","Principles of health promotion and wellness with an emphasis on helping you get the most out of your college experience. Using active, socially engaged approaches we will examine topics such as resilience and stress, social image, healthy eating, social activism, substance use, healthy relationships, and human sexuality (Gen.Ed. SI, DU)."
"PUBHLTH-203","Undergraduate","Introduction to Environmental Health Sciences","Public Health","Introduction to the physical, chemical, and biological implications relating to human exposures to a variety of environmental contaminants, including air, water, and soil pollution, infectious disease, and occupational environmental health. Recommended (but not required) Prerequisites: Biology 100 and 101 (or Biology 102 or 106 and permission of the instructor) AND Chemistry 111 or 121 and Chemistry 112 (or Chemistry 110 and permission of the instructor)"
"PUBHLTH-223","Undergraduate","Introduction to Biostatistics for Public Health","Public Health","This introductory course is designed to give students the basic skills to organize and summarize data, along with an introduction to the fundamental principles of statistical inference. The course emphasizes an understanding of statistical concepts and interpretation of numeric data summaries along with basic analysis methods, using examples and exercises from medical and public health studies. The course does not require a high-level mathematics background, and will highlight the use and integration of statistical software, spreadsheets and word processing software in conducting and presenting data summaries and analyses."
"PUBHLTH-224","Undergraduate","Epidemiology in Public Health","Public Health","This course is intended to introduce the science of epidemiology and to explore how epidemiologic methods are applied to solving public health problems. Students will learn basic quantitative methods, study design concepts, and critical thinking skills relating to infectious and chronic disease epidemiology."
"PUBHLTH-323","Undergraduate","Public Health Communications","Public Health","The public health community - individuals and organizations - have an important role to play in shaping how populations receive and gain access to accurate health information. The Center for Disease Control and Prevention defines health communication as &quot;the and use of communication strategies to inform and influence individual and community decisions that enhance health.&quot; This class will provide an introduction to the issues and methods associated with effective communication of health related information. Fulfills Junior Year Writing requirement."
"PUBHLTH-340","Undergraduate","LGBTQ Health","Public Health","This course is about the unique health needs and health disparities within the LGBTQ (lesbian, gay, bisexual, transgender, and queer) communities, and among the individuals who make up each of these communities. We will learn about gender identity and sexual orientation development in kids and young adults, sexual health, global perspectives, strategies for improving the healthcare experience of LGBT people (e.g., patient-centered and compassionate care), barriers to accessing health care, and many other relevant topics. This is an important course for public health students, because it teaches more than just the facts, but also skills for creating a compassionate and inclusive environment for vulnerable populations. (Gen. Ed. SB, DU)"
"PUBHLTH-380","Undergraduate","Introduction to Health Services Management","Public Health","This course presents an undergraduate-level introduction to the principles and practice of management in health service organizations. Specific topics include leadership, organizational behavior and theory, strategic planning, marketing, quality and process improvement, finance and insurance, and human resource management. This course is designed to inform and prepare future managers with the necessary competencies to positively affect the long-term success of health organizations. Upon completion of this course, students will be able to 1) understand and articulate concepts of health care management, 2) apply quality and performance improvement, strategic planning, and marketing principles to health-related organizations, 3) identify organizational problems and apply systems-thinking solutions, 4) manage organizational change, and 5) demonstrate leadership skills. Prerequisites: None, but preference will be given to undergraduate public health students interested in health policy and management."
"PUBHLTH-389","Undergraduate","Health Inequities","Public Health","While the health and wellbeing of the nation has improved overall, racial, ethnic, gender and sexuality disparities in morbidity and mortality persist. To successfully address growing disparities, it is important to understand social determinants of health and translate current knowledge into specific strategies to undo health inequalities. This course will explore social justice as a philosophical underpinning of public health and will consider the etiology of disease rooted in social conditions. It aims to strengthen critical thinking, self-discovery, and knowledge of ways in which socioeconomic, political, and cultural systems structure health outcomes."
